x_dot,y_dot,base_dot
1,0.639222743,B1
2,0.312397868,B1
3,0.148910103,B1
5,0.026294279,B1
7,0.004359677,B1
10,0.013300414,B1
20,0.014576415,B1
30,0.014577661,B1
50,0.014577662,B1
70,0.014577662,B1
100,0.014577662,B1
200,0.014577662,B1
300,0.014577662,B1
1,0.987014212,B2
2,0.756190149,B2
3,0.467317226,B2
5,0.175704533,B2
7,0.06591635,B2
10,0.014938528,B2
20,0.000259397,B2
30,0.000374352,B2
50,0.000375228,B2
70,0.000375228,B2
100,0.000375228,B2
200,0.000375228,B2
300,0.000375228,B2
1,0.999986089,B3
2,0.989925475,B3
3,0.84867878,B3
5,0.397878302,B3
7,0.179703655,B3
10,0.054518265,B3
20,0.000963625,B3
30,4.39E-05,B3
50,6.32E-05,B3
70,6.32E-05,B3
100,6.32E-05,B3
200,6.32E-05,B3
300,6.32E-05,B3
1,0.999999999,B4
2,0.999989633,B4
3,0.998237606,B4
5,0.855772959,B4
7,0.515487157,B4
10,0.223780957,B4
20,0.013860244,B4
30,0.000858179,B4
50,2.98E-06,B4
70,3.03E-07,B4
100,3.16E-07,B4
200,3.16E-07,B4
300,3.16E-07,B4
1,1,B5
2,1,B5
3,0.999999989,B5
5,0.99970765,B5
7,0.97219827,B5
10,0.669460141,B5
20,0.093455544,B5
30,0.012992286,B5
50,0.0002511,B5
70,4.85E-06,B5
100,1.28E-08,B5
200,2.45E-10,B5
300,2.45E-10,B5
1,0.693297975,B1Conv
2,0.347672643,B1Conv
3,0.174859977,B1Conv
4,0.088453643,B1Conv
5,0.045250477,B1Conv
6,0.023648894,B1Conv
7,0.012848102,B1Conv
8,0.007447706,B1Conv
9,0.004747508,B1Conv
10,0.003397409,B1Conv
11,0.00272236,B1Conv
12,0.002384835,B1Conv
13,0.002216073,B1Conv
14,0.002131692,B1Conv
15,0.002089501,B1Conv
16,0.002068406,B1Conv
17,0.002057858,B1Conv
18,0.002052584,B1Conv
19,0.002049947,B1Conv
20,0.002048629,B1Conv
21,0.00204797,B1Conv
22,0.00204764,B1Conv
23,0.002047475,B1Conv
24,0.002047393,B1Conv
25,0.002047352,B1Conv
26,0.002047331,B1Conv
27,0.002047321,B1Conv
28,0.002047316,B1Conv
29,0.002047313,B1Conv
30,0.002047312,B1Conv
31,0.002047311,B1Conv
32,0.002047311,B1Conv
33,0.002047311,B1Conv
34,0.00204731,B1Conv
